channel,m1,c1,m2,c2,sideslip,vw,middle_alpha
C_roll,0.0007008691592026457,-0.08099424280876237,0.0003524815850537989,-0.08008843511597537,-6.0,10.0,2.6
C_pitch,-0.006891096067922118,0.3334099653586348,-0.004610424439012533,0.32748021912346986,-6.0,10.0,2.6
C_yaw,6.832040335875756e-05,0.14629096442216233,0.0006419566531504107,0.14479951017270404,-6.0,10.0,2.6
C_L,0.0011650043386623988,0.20411263637931265,0.0008474458074566914,0.2049382885604475,-6.0,15.0,2.6
C_D,6.260607156736612e-05,0.6556626600255845,0.0008837882337237096,0.653527586403978,-6.0,15.0,2.6
C_S,0.00041876081898847205,0.060986633926317875,0.0002882907643062746,0.061325856068491585,-6.0,15.0,2.6
C_roll,0.00034854010662391504,-0.07810660271954259,0.00041431866452931385,-0.07827762697009662,-6.0,15.0,2.6
C_pitch,-0.005680113474194404,0.34520568078357544,-0.005362294182830615,0.3443793506260296,-6.0,15.0,2.6
C_yaw,0.0006732307024366724,0.14679675690594546,9.354815505635786e-05,0.14830393152913426,-6.0,15.0,2.6
C_L,0.0006157097471001271,0.19814283735269217,0.0007446378601032395,0.19780762425888407,-6.0,20.0,2.6
C_D,-0.0007198584842016436,0.644476689824308,0.0004156371055011985,0.6415244012910806,-6.0,20.0,2.6
C_S,5.323636643693204e-05,0.05771110908120028,0.00034599831470365927,0.05694992801570679,-6.0,20.0,2.6
C_roll,0.0008718021609455419,-0.07452031183974321,0.0003885584380123144,-0.07326387816011681,-6.0,20.0,2.6
C_pitch,-0.005754933522279351,0.3483021025918359,-0.005050798115078048,0.34647135053311257,-6.0,20.0,2.6
C_yaw,4.929986088361147e-05,0.1387521144013796,0.00017537669960493367,0.13842431462070418,-6.0,20.0,2.6
C_L,0.0005756893597626436,0.1945639633572452,0.0005878616624332483,0.19453231537030166,-6.0,25.0,2.6
C_D,-0.0009158992803703528,0.6468946276796367,0.0008238358150708658,0.6423713164314895,-6.0,25.0,2.6
C_S,0.00014786785757133668,0.06529688599534712,0.00011767733006075776,0.06537538136687462,-6.0,25.0,2.6
C_roll,0.0008744308452657924,-0.08097466545005096,0.0005559819215885812,-0.0801466982484902,-6.0,25.0,2.6
C_pitch,-0.006178732166936025,0.3548176918942956,-0.004400626767018792,0.3501946178545108,-6.0,25.0,2.6
C_yaw,5.210141599908043e-05,0.1408853572897833,0.00020208122214496082,0.140495409793804,-6.0,25.0,2.6
C_L,0.00409424934410114,0.22911156286568984,0.0025669049248740958,0.23308265835568015,-4.0,5.0,2.6
C_D,0.00032919995158463516,0.6498279017029134,0.0015168716081262674,0.6467399553959051,-4.0,5.0,2.6
C_S,-0.0003593282114889965,0.07905522217393489,0.0008739104761339867,0.07584880158611514,-4.0,5.0,2.6
C_roll,-0.0006555144831492265,-0.08411968168179221,0.0015715305860061189,-0.0899099988615961,-4.0,5.0,2.6
C_pitch,-0.007947233031315793,0.31065540337454545,-0.0068127187267255146,0.30770566618261075,-4.0,5.0,2.6
