channel,a,b,c,sideslip,vw
Cmz,3.962985060720482e-06,0.0003103202938452381,0.1435743098305703,14.0,25
Cx,5.2246433887669494e-05,0.0012376679897605851,0.6965841818035229,12.0,5
Cy,-0.00017926766499989797,0.0023777862692092254,-0.24551029416982362,12.0,5
Cz,-6.5994763319579704e-06,-0.0029113354295354356,-0.2076747236596069,12.0,5
Cmx,-0.0001983044241586128,0.001216813918959542,-0.5624573643953731,12.0,5
Cmy,-8.947731282944977e-05,-0.004900655230740782,-1.4298093986964104,12.0,5
Cmz,4.381656697429736e-05,-0.0001413074502761064,0.08134278815501578,12.0,5
Cx,1.2951196111889323e-05,0.0005596241219082616,0.7066371227658572,12.0,10
Cy,-5.698855345077653e-05,0.0002426180838876404,-0.2556540958270102,12.0,10
Cz,1.993146238925305e-05,-0.001652344884757811,-0.21186161134992665,12.0,10
Cmx,-7.810795804291203e-05,-0.0006589937230013008,-0.580940961302836,12.0,10
Cmy,-5.512133397460007e-05,-0.003692030916533375,-1.4404134414946845,12.0,10
Cmz,1.676365559854983e-05,0.0002859544620452694,0.08513272225780685,12.0,10
Cx,3.612112589197011e-05,0.00032320868935940567,0.7013031668903229,12.0,15
Cy,-4.1322777869583425e-05,-0.00016787670796220036,-0.25213057169938985,12.0,15
Cz,-2.3334174461879195e-05,-0.0009942237228475334,-0.19918460762019816,12.0,15
Cmx,-7.061451082646218e-05,-0.0009353625518103556,-0.5760076400217341,12.0,15
Cmy,-8.988958617082021e-05,-0.003208552040945403,-1.434476760635453,12.0,15
Cmz,7.330954123445218e-06,0.0004032408193765253,0.08610783002809158,12.0,15
Cx,4.13843690833061e-05,-1.8161387785312562e-06,0.6921594562456537,12.0,20
Cy,-3.199867783313099e-05,-0.00012990977352866665,-0.25366813922925624,12.0,20
Cz,-1.027679820457883e-05,-0.0007244316362806461,-0.1949384410246294,12.0,20
Cmx,-7.622354392609323e-05,-0.0006471171203266146,-0.5702865239544632,12.0,20
Cmy,-0.00011793928143840131,-0.0025055323109829273,-1.4231118164784031,12.0,20
Cmz,1.1377069871488344e-05,0.00027015540712431826,0.08812892395008161,12.0,20
Cx,3.996953172321863e-05,0.0005366969498897952,0.6871885435337685,12.0,25
Cy,-9.952613409224167e-06,-0.00035343546333373085,-0.25618308640854626,12.0,25
Cz,-1.6523256449350654e-05,-0.0007547488086672741,-0.19018218693719063,12.0,25
Cmx,-4.6433574371117034e-05,-0.0009370710631872295,-0.569664793912307,12.0,25
Cmy,-0.0001020867029445133,-0.0034812364921888656,-1.4179715986287182,12.0,25
Cmz,-5.637971523663389e-06,0.00037593690933995284,0.08869676364928747,12.0,25
Cx,2.714286204679472e-05,0.0009094151172529678,0.6893455999702099,10.0,5
Cy,-0.00010147026942388192,0.001269879324715463,-0.17534182198290554,10.0,5
Cz,6.746230367643614e-05,-0.0030493392128551878,-0.2163072222802747,10.0,5
Cmx,-8.502335366249376e-05,0.0007850640591231204,-0.4203273924516258,10.0,5
Cmy,-8.051609109536618e-05,-0.004132512952330922,-1.3964136919756414,10.0,5
