channel,a,b,c,sideslip,vw
C_D,0.0,0.00023885637927911594,0.6527576157594445,-6.0,25.0
C_S,0.0,-0.00019090354264453282,-0.049237460833833395,-6.0,25.0
C_roll,0.0,-0.0030020305864032807,-0.12620882454121132,-6.0,25.0
C_pitch,0.0,-0.01778017114979703,-1.0803948066665585,-6.0,25.0
C_yaw,0.0,-0.002828217082332408,-0.4218032577861093,-6.0,25.0
C_L,0.0,0.0029214795432922634,0.2161999646793338,-4.0,5.0
C_D,0.0,0.0009270668388640541,0.6587987545184238,-4.0,5.0
C_S,0.0,-5.429519733074393e-05,-0.07260737549720563,-4.0,5.0
C_roll,0.0,-0.0029930871891546786,-0.17101475017965306,-4.0,5.0
C_pitch,0.0,-0.02448047940656284,-1.165519873373169,-4.0,5.0
C_yaw,0.0,-0.0026913279886457047,-0.3896101412387618,-4.0,5.0
C_L,0.0,0.0013673660182442122,0.2075472348664851,-4.0,10.0
C_D,0.0,0.00032520650074237294,0.6446377508924434,-4.0,10.0
C_S,0.0,0.00028255564275311623,-0.04307841001177183,-4.0,10.0
C_roll,0.0,-0.002074762371066666,-0.11001186713230736,-4.0,10.0
C_pitch,0.0,-0.0193542537163362,-1.1305740287067338,-4.0,10.0
C_yaw,0.0,-0.0012356343784100706,-0.32044145747196695,-4.0,10.0
C_L,0.0,0.0007473775221526805,0.20751738867244657,-4.0,15.0
C_D,0.0,0.00018551337184758283,0.6398674543341065,-4.0,15.0
C_S,0.0,0.0003440867697560741,-0.037980827701357175,-4.0,15.0
C_roll,0.0,-0.001826078546033697,-0.0998463488637158,-4.0,15.0
C_pitch,0.0,-0.017425594826961186,-1.1209174879773312,-4.0,15.0
C_yaw,0.0,-0.00090283494752986,-0.309520135505481,-4.0,15.0
C_L,0.0,0.0007841980320784775,0.20098266891132735,-4.0,20.0
C_D,0.0,0.00016714945284558542,0.6254709325095192,-4.0,20.0
C_S,0.0,3.759823482733908e-05,-0.03788355153440868,-4.0,20.0
C_roll,0.0,-0.002452832509323558,-0.09819201686432479,-4.0,20.0
C_pitch,0.0,-0.017174272411044748,-1.0755516933127067,-4.0,20.0
C_yaw,0.0,-0.0016764638012848124,-0.3044527753746316,-4.0,20.0
C_L,0.0,0.0007686689432646666,0.2035062767497021,-4.0,25.0
C_D,0.0,0.0004616103397359054,0.6301397408093206,-4.0,25.0
C_S,0.0,0.00014679108672496644,-0.03950199567430144,-4.0,25.0
C_roll,0.0,-0.0022270281676562836,-0.09454888939466245,-4.0,25.0
