Filename,sample index,Date,Folder,config,aoa,vw_actual,Dpa,Pressure,Temp,Density,vw,sideslip,C_D,C_S,C_L,C_roll,C_pitch,C_yaw,C_D_std,C_S_std,C_L_std,C_roll_std,C_pitch_std,C_yaw_std,SNR(Fx),SNR(Fy),SNR(Fz),SNR(Mx),SNR(My),SNR(Mz),aoa_kite,dyn_vis,Rey
normal_aoa_25_vw_05,16,5-4-2024,data/,normal,25.1,5.0,11.59,1006.96,25.6,1.174,5,20.0,0.2800623378941569,0.17783632120241882,0.8677747508114432,0.1788278480117814,1.2098745203872234,0.08188263078573621,0.11981146955214796,0.1574561208777582,0.7360527290366247,0.3068460232132771,1.970158252008143,0.3109151825561844,39.51933188894455,9.152751075610803,55.81697248550024,6.94686303876535,60.91383459691085,34.16838625321621,17.85,1.682325661927086e-05,139568.69666425887
normal_aoa_25_vw_10,0,5-4-2024,data/,normal,25.1,10.04,46.57,1006.92,25.9,1.173,10,20.0,0.28421878093360275,0.11472890768865293,0.8908682556023463,0.03780662836484087,0.4195203696781526,-0.08988401494751026,0.07102448975089658,0.07659473624251154,0.23574604933191481,0.175349465034539,0.6312136222648574,0.16858076524214488,49.42938609087375,34.62516542600619,55.559318483455876,31.3727318670974,58.18162116824754,45.713381143119506,17.85,1.6819368900690038e-05,280079.9499561921
normal_aoa_25_vw_10,1,5-4-2024,data/,normal,25.1,10.05,46.66,1006.95,25.9,1.173,10,14.0,0.289164999505012,0.051929804547929594,0.900660495326027,-0.020259710638058905,0.38821007911145194,-0.042442278196285016,0.08200484313750599,0.06728387490281001,0.2341799190371577,0.1651841136759087,0.6297964904650073,0.16563797023301477,49.31940444924321,27.51400056859465,55.55817834971703,25.37630693251192,58.197683624206014,39.069523637892694,17.85,1.6819368900690038e-05,280358.914049774
normal_aoa_25_vw_10,2,5-4-2024,data/,normal,25.1,10.04,45.65,1006.9,26.0,1.173,10,12.0,0.2987575684635521,0.04740312517511614,0.8947836629060261,-0.013312210648407256,0.38838170213360307,-0.010789508988135027,0.07678867070383665,0.0827678334978736,0.22780916569661092,0.18503045856464156,0.6133454702353847,0.1814518280931313,49.25560110962449,22.703212829610937,55.56052261148195,21.679159510505674,58.22098942890859,35.44524748972838,17.85,1.6818073319743788e-05,280101.5259262626
normal_aoa_25_vw_10,3,5-4-2024,data/,normal,25.1,10.04,46.62,1006.92,26.0,1.173,10,10.0,0.2909436116811992,0.05777903441478234,0.8958097293005658,0.006439434786547623,0.39695832998114067,0.02873319729310775,0.08501592338106145,0.09686196303748114,0.23001727688381687,0.22618357947315598,0.6170590402338256,0.2226803228514932,49.11364747848734,18.556958711679464,55.560447679214,17.473758182124687,58.25484874410575,31.9008749788292,17.85,1.6818073319743788e-05,280101.5259262626
normal_aoa_25_vw_10,4,5-4-2024,data/,normal,25.1,10.04,46.63,1006.94,26.0,1.173,10,8.0,0.2903133407314038,0.05295668518028671,0.9031753792455559,0.00786772553202168,0.3683115315336774,0.03913493701223682,0.09767014070218748,0.07869142741564622,0.23175217883771687,0.22555092014719116,0.6222747762460068,0.21800747132780854,48.92733370949096,14.337465707968883,55.56071405245992,12.470635311720084,58.30435944485637,27.918769742484695,17.85,1.6818073319743788e-05,280101.5259262626
normal_aoa_25_vw_10,5,5-4-2024,data/,normal,25.1,10.03,46.54,1006.84,26.0,1.172,10,6.0,0.3075391673719054,0.029676891624962298,0.9189672396474452,-0.019385804612568457,0.33625048511817596,-0.004502454818807767,0.08371868077750218,0.07446276493622628,0.23221624000783672,0.22430859973574524,0.6280171756290454,0.196262275384452,48.83930133946606,12.7680689114227,55.555901354664236,7.182991518704041,58.31022281610185,25.648675571986878,17.85,1.6818073319743788e-05,279583.98745235294
normal_aoa_25_vw_10,6,5-4-2024,data/,normal,25.1,10.05,46.65,1006.53,26.0,1.172,10,4.0,0.31944711742305665,0.002021111108155446,0.9677851037840937,-0.038703525034580674,0.31291659539762545,-0.07066205639129466,0.14933471248836605,0.08160409103638679,0.24373933160678973,0.215563903321691,0.6532849267110983,0.1995129439761274,48.78693432594055,15.709346073313776,55.53812719629897,8.98162559988782,58.18675679582614,25.678215277398085,17.85,1.6818073319743788e-05,280141.48294079246
normal_aoa_25_vw_10,7,5-4-2024,data/,normal,25.1,10.04,46.66,1006.9,26.1,1.172,10,2.0,0.32347660772490633,-0.023697061521646773,0.9730656689431754,-0.050733428569960076,0.29391119450094083,-0.0667758428462763,0.10327396893822618,0.07859789151712138,0.23426502890394832,0.21518335283582185,0.6378294771014776,0.1971046429530241,48.75254523865725,20.803589844037727,55.538231367202606,14.639585190596174,58.219818871884556,22.101899904758806,17.85,1.68167779016156e-05,279884.2933846334
normal_aoa_25_vw_10,8,5-4-2024,data/,normal,25.1,10.04,46.62,1006.9,26.1,1.172,10,0.0,0.33041468342938435,-0.0002818939909699739,0.9754889957758831,-0.013597599924197444,0.3077133962747418,0.018931422151932956,0.10301069957403813,0.06875519013885764,0.24153705176302465,0.18336088995370606,0.6489041845948298,0.17757543631358713,48.80702137058739,23.4845788248378,55.5375579410345,17.554956520621275,58.18848967955619,22.4348887131158,17.85,1.68167779016156e-05,279884.2933846334
