Date;Folder;Filename;config;aoa;sideslip;vw;Dpa;Pressure;Temp;Density;;rows;;;;;;;;;
4-4-2024;data/normal/aoa_-05;normal_aoa_-05_vw_10;normal;-5,4;0;10,01;46,55;1006,1;24,3;1,179;;3; ;Unsteady has double the rows, from 15m/s;;;;;opgelost;;
4-4-2024;data/normal/aoa_-05;normal_aoa_-05_vw_15;normal;-5,4;0;14,97;103,81;1006,55;25;1,176;;4;;;;;;;;;
4-4-2024;data/normal/aoa_-05;normal_aoa_-05_vw_20;normal;-5,4;0;19,98;185,35;1006,55;25,7;1,173;;5;;;;;;;;;
4-4-2024;data/normal/aoa_-05;normal_aoa_-05_vw_25;normal;-5,4;0;25,02;284,5;1006,63;27,5;1,166;;6;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Check CODE voor dubbel normal_aoa file! Moet hier somehow goed over nadenken!;;;;;;;
;;;;;;;;;;;;;;Misschien loopen over filenames in labbook en dan occurences tellen, voor number of rows, use indices;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;20;0;-0,09;1005,75;20,2;1,194;;1;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;14;0;-0,09;1005,73;20,2;1,194;;2;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;12;0;-0,08;1005,71;20,2;1,194;;3;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;10;0;-0,07;1005,72;20,2;1,194;;4;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;8;0;-0,08;1005,72;20,2;1,194;;5;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;6;0;-0,07;1005,72;20,2;1,194;;6;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;4;0;-0,08;1005,73;20,2;1,194;;7;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;2;0;-0,08;1005,72;20,2;1,194;;8;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;0;0;-0,08;1005,72;20,2;1,194;;9;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;-2;0;-0,07;1005,69;20,2;1,194;;10;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;-4;0;-0,07;1005,68;20,2;1,194;;11;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;-6;0;-0,08;1005,66;20,2;1,194;;12;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;-8;0;-0,07;1005,65;20,2;1,194;;13;;;;;;;;;
5-4-2024;data/without/aoa_10;without_aoa_10_vw_00;without;9,85;-10;0;-0,07;1005,64;20,2;1,194;;14;;;;;;;;;
