Filename,sample index,Date,Folder,config,aoa,vw_actual,Dpa,Pressure,Temp,Density,vw,SNR_F_X,SNR_F_Y,SNR_F_Z,SNR_M_X,SNR_M_Y,SNR_M_Z,F_X_load_ratio,F_Y_load_ratio,F_Z_load_ratio,M_X_load_ratio,M_Y_load_ratio,M_Z_load_ratio,sideslip,C_D,C_S,C_L,C_roll,C_pitch,C_yaw,C_D_std,C_S_std,C_L_std,C_roll_std,C_pitch_std,C_yaw_std,aoa_kite,dyn_vis,Rey
normal_aoa_12_vw_05,2,6-4-2024,data/,normal,12.0,4.98,11.44,1006.17,26.3,1.171,5,0.29241417254719493,0.2763233723669874,1.6486471714468725,0.2436576116477019,0.5717557050152957,0.6780490979754284,0.0011758628684263206,-0.00016843597905296086,0.0001616682910102476,-0.000345799275998022,-0.0039206756876121115,0.001484630409562174,12.0,0.08030916865973137,0.15746644500863588,0.48732814423039506,0.21384044459224893,0.2978655735936999,-0.025664454211349646,0.12074408371520723,0.10176286288993695,0.8165265444566927,0.28665142391151593,2.132486014867785,0.30499160021762234,4.75,1.681418755427773e-05,138729.9857617296
normal_aoa_12_vw_05,3,6-4-2024,data/,normal,12.0,4.98,11.41,1006.2,26.3,1.171,5,0.05621594399558463,0.5867078219169185,0.8869614612165111,0.6816303866783033,0.5572303273249577,0.9375602240856975,0.00016636987616638698,-0.0004413775161390408,-0.000491707048133184,-0.0016779416659118108,-0.003598644542321215,0.0033257763595167314,10.0,0.06761900063275192,0.17859375020107485,0.4852928850203641,0.2399024100663176,0.3610063914304346,0.037943470520129675,0.13509809805950973,0.10832431280357963,0.8145999955169294,0.27559014477063115,2.134340774436626,0.3009469587591462,4.75,1.681418755427773e-05,138729.9857617296
normal_aoa_12_vw_05,4,6-4-2024,data/,normal,12.0,4.98,11.41,1006.2,26.3,1.171,5,-0.05038391722381429,-0.18912060285874524,0.3936427618027126,-0.5037170414079845,0.5420250725397526,1.2095072057529273,-0.00013127882869110285,3.424103136029135e-05,-4.090722560218195e-05,0.00018564838831372962,-0.00330352782226103,0.0005419330543040599,8.0,0.04561204354632901,0.20845958227440264,0.5130184564031717,0.26949293904126365,0.338790257078698,0.1381098016299883,0.14891522116695938,0.13115024987842588,0.803278661935556,0.28043163602011517,2.1019595347359217,0.332263031352562,4.75,1.681418755427773e-05,138729.9857617296
normal_aoa_12_vw_05,5,6-4-2024,data/,normal,12.0,4.98,11.4,1006.22,26.3,1.171,5,-0.1754209174938249,0.6030058883400349,0.7342034426609012,0.6120459433593265,0.5816600142661362,0.9979477882175676,-0.0003982879937627777,-0.00028593531316298954,-0.00017983072030464004,-0.0007773337550024399,-0.003783535662191946,0.003596868543753134,6.0,0.057599680539463724,0.1701309484712705,0.5161765937783332,0.2457735452115161,0.3185237587067073,0.1531768384293101,0.14005840397460145,0.10130483607421488,0.8216637453221208,0.2694809162032535,2.145826509695661,0.40371282331808644,4.75,1.681418755427773e-05,138729.9857617296
normal_aoa_12_vw_05,6,6-4-2024,data/,normal,12.0,4.98,11.38,1006.22,26.3,1.171,5,-0.06777153534384861,0.7941179469607639,1.390260437120936,0.4385528821369851,0.5539061889316891,1.030300615520648,-0.00016580983358820765,-0.0005144585661293614,0.00024169786338040414,-0.00028419768460188807,-0.00330452449215295,0.0014089476690646412,4.0,0.05860815742176354,0.1240240137044252,0.5069149257140467,0.20553134572348686,0.3733970727851412,0.13762543401451388,0.14115834764552043,0.09426391491080144,0.8128289814088301,0.2649131301208078,2.1272458000921786,0.2657851341797422,4.75,1.681418755427773e-05,138729.9857617296
normal_aoa_12_vw_05,7,6-4-2024,data/,normal,12.0,4.98,11.38,1006.22,26.3,1.171,5,0.24577373016392776,0.5517967984202423,0.8771603384740115,2.1179068830090024,0.6053145061825285,1.1831693863179518,0.0008375765679326981,-6.743654470999815e-05,-0.0004647350237912131,0.0004067048073020707,-0.00400427165435138,0.0003169966152099549,2.0,0.056063518923440865,0.07345054026367039,0.5492487348002068,0.17413821012335712,0.2697767766679342,0.13579302988767522,0.16294399111340105,0.10353915255874496,0.7921370597049008,0.26654237038335066,2.08141183887102,0.2313661582328705,4.75,1.681418755427773e-05,138729.9857617296
normal_aoa_12_vw_05,8,6-4-2024,data/,normal,12.0,4.98,11.38,1006.22,26.3,1.171,5,-0.00748104170847974,1.1766698086568663,1.1450819946978545,1.0381238250657283,0.5743079578930268,1.0168801622547667,-1.9132338451671947e-05,-0.00044451702609846954,0.000533101846162951,-0.0007372836604051295,-0.0034972513273420582,0.002311008607839808,0.0,0.05311807312654037,0.08517453678370117,0.5284045627370607,0.20887486027089155,0.33747386244415745,0.2674674195644174,0.18227860678113705,0.10529243200538413,0.8084300241449002,0.26955629460349023,2.121830419721219,0.23030183320388248,4.75,1.681418755427773e-05,138729.9857617296
normal_aoa_12_vw_05,9,6-4-2024,data/,normal,12.0,4.98,11.39,1006.22,26.2,1.171,5,0.15662575190398342,1.531834574362876,0.7391843880791803,0.6739360376345781,0.5752954389124273,0.30759787906504515,0.0004743439806294849,-0.00022359874143724516,-0.00018911037032843042,0.00026904825347179035,-0.003523965182586233,5.383464595994787e-05,-2.0,0.06674327312466748,0.013084855556817803,0.5389328454189312,0.09036794441692947,0.2805536171116334,0.21201998354235277,0.13627129062670298,0.10614913755928851,0.8133039203846456,0.27418597629174046,2.1326861263316754,0.26458868009685177,4.75,1.6815482646421633e-05,138719.30107794967
normal_aoa_12_vw_05,10,6-4-2024,data/,normal,12.0,4.98,11.4,1006.19,26.2,1.171,5,0.17930021085178313,3.3364055686203904,0.767612930150726,1.5414124266545903,0.6088259202465005,0.9188111838734146,0.0005642274713040317,-0.0002053685585522221,-0.0002200418589187715,-0.0007580474489129023,-0.004081059670363054,0.0012394137884850311,-4.0,0.06874336743408949,-0.034213731410386354,0.5269692913870686,0.06163868218710702,0.31076117637001555,0.20795317769747937,0.15014172099962014,0.13761960558041791,0.8099322245955323,0.2847079740976561,2.124554539969484,0.30648771605121294,4.75,1.6815482646421633e-05,138719.30107794967
normal_aoa_12_vw_05,11,6-4-2024,data/,normal,12.0,4.98,11.39,1006.19,26.2,1.171,5,0.1896930268672267,0.6044272843693694,-0.2595642590569107,-1.3122601692542135,0.5394724472488116,1.029354969276194,0.0006202870543072105,0.00028986243131916745,1.3784910200570187e-05,-0.00020073143096431043,-0.0031297707019316877,-0.005656927058442751,-6.0,0.06789730236904264,-0.08359832501175189,0.5292695994426218,0.02575471827226088,0.3045800915777648,0.19662341076234677,0.144505704069452,0.09612585568210295,0.813505145713907,0.29836733425981893,2.1367253355167106,0.2785173703748313,4.75,1.6815482646421633e-05,138719.30107794967
