channel,a,b,c,sideslip,vw
Cy,0.0,-0.000529512482165006,-0.1929112988918722,10.0,15
Cz,0.0,-0.001188208008078131,-0.20228213345815482,10.0,15
Cmx,0.0,-0.0010845567353509383,-0.44386320418379194,10.0,15
Cmy,0.0,-0.0036511097983863814,-1.4166587492309712,10.0,15
Cmz,0.0,0.0004614954516617677,0.03176692694852208,10.0,15
Cx,0.0,6.26479625105443e-05,0.6835823153000992,10.0,20
Cy,0.0,-0.00017468276779333095,-0.19543980073572426,10.0,20
Cz,0.0,-0.000771546344216899,-0.19540541447558435,10.0,20
Cmx,0.0,-0.00041250420365266716,-0.44331096074203596,10.0,20
Cmy,0.0,-0.002612247586885411,-1.4076553951021256,10.0,20
Cmz,0.0,0.00029400712887998426,0.03612299667564098,10.0,20
Cx,0.0,0.0005950212640548405,0.6767024127433464,10.0,25
Cy,0.0,-0.0003279706161210455,-0.19320615939202862,10.0,25
Cz,0.0,-0.0007835686685966125,-0.19058114868563286,10.0,25
Cmx,0.0,-0.0008569319116608743,-0.4355422818121573,10.0,25
Cmy,0.0,-0.003547365698421254,-1.398342627304224,10.0,25
Cmz,0.0,0.00029150209456706036,0.03508874124005816,10.0,25
Cx,0.0,0.000789188560069913,0.680463588754515,8.0,5
Cy,0.0,-0.00028751237846408735,-0.12781130243705216,8.0,5
Cz,0.0,-0.003147242411775102,-0.20559415124908126,8.0,5
Cmx,0.0,-0.0005277313323534097,-0.30230618152853017,8.0,5
Cmy,0.0,-0.004595663097197599,-1.3738006102376616,8.0,5
Cmz,0.0,0.00035758220666385184,-0.013432517496311878,8.0,5
Cx,0.0,0.0003772977685077225,0.6783114791927816,8.0,10
Cy,0.0,-0.0004887770700933051,-0.14534794985979496,8.0,10
Cz,0.0,-0.001527420513989575,-0.20098309278103005,8.0,10
Cmx,0.0,-0.0010801339044492373,-0.32763407186437343,8.0,10
Cmy,0.0,-0.003656732834354384,-1.3746065750728869,8.0,10
Cmz,0.0,0.0005286801754302628,-0.007909807431066573,8.0,10
Cx,0.0,0.0005433137326990933,0.6775059252483103,8.0,15
Cy,0.0,-0.00048515552669412795,-0.14677111310692717,8.0,15
Cz,0.0,-0.0011633800316480697,-0.20351896718559795,8.0,15
Cmx,0.0,-0.001104021083732818,-0.3295304738157361,8.0,15
Cmy,0.0,-0.0038172482151731936,-1.3764814412768198,8.0,15
Cmz,0.0,0.0004702151370503008,-0.0075001827559289655,8.0,15
Cx,0.0,2.122056771235031e-06,0.6641526250687212,8.0,20
Cy,0.0,-0.00017943272190181278,-0.14669994707244585,8.0,20
Cz,0.0,-0.0007682192822873693,-0.1988409766304124,8.0,20
Cmx,0.0,-0.00039266313773154065,-0.32562665998091717,8.0,20
Cmy,0.0,-0.002683660859307332,-1.3622047633900756,8.0,20
Cmz,0.0,0.0004344333310017725,-0.00366807552422361,8.0,20
Cx,0.0,0.00045598464204000676,0.6583448498680537,8.0,25
Cy,0.0,-0.0004210204730446897,-0.1465579475017184,8.0,25
Cz,0.0,-0.000823069792089592,-0.19114483625716353,8.0,25
Cmx,0.0,-0.0008841504522215004,-0.32018278752596907,8.0,25
Cmy,0.0,-0.0035770387029860308,-1.3529327427397977,8.0,25
Cmz,0.0,0.0003751955655303926,-0.003674436786920241,8.0,25
Cx,0.0,0.0003632544867496874,0.6654641297270296,6.0,5
Cy,0.0,-0.0014395963958167433,-0.1061107003768701,6.0,5
Cz,0.0,-0.0029327837577191925,-0.21392758254972294,6.0,5
Cmx,0.0,-0.0017850191389855855,-0.2625194114088139,6.0,5
Cmy,0.0,-0.0038273500899561473,-1.342412371331686,6.0,5
Cmz,0.0,0.0007448451466551139,-0.0026134249925714305,6.0,5
Cx,0.0,3.9473517078810474e-05,0.6564678525705411,6.0,10
Cy,0.0,-0.0006645266109690297,-0.12204626346124312,6.0,10
Cz,0.0,-0.0012767436211666013,-0.20841557435534744,6.0,10
Cmx,0.0,-0.0011507009469563878,-0.26522537780212774,6.0,10
Cmy,0.0,-0.0031325508735911126,-1.3232689854244424,6.0,10
Cmz,0.0,0.0005041995351807735,-0.010825332240599762,6.0,10
Cx,0.0,0.00039939998651942755,0.6492001602625477,6.0,15
Cy,0.0,-0.0005306974836217751,-0.12134121625442142,6.0,15
Cz,0.0,-0.001022809407716199,-0.20288108166154117,6.0,15
Cmx,0.0,-0.001023193244486288,-0.2590674756101485,6.0,15
Cmy,0.0,-0.0034397050563186723,-1.3143394048522103,6.0,15
Cmz,0.0,0.0004055799620459553,-0.01445067154339764,6.0,15
Cx,0.0,-0.00018347257620208193,0.6395951803766202,6.0,20
